                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.1492,                  1.053,                 1.5177,                0.74235,                0.76069,                0.79445,                0.47479,                 1.4203,                 1.0743,                  1.738,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.1472,                 1.0596,                 1.5232,                0.76708,                  0.748,                0.79898,                0.47536,                 1.4225,                 1.0614,                 1.7428,               0.003367,               0.003367,               0.003367
                    136,                 1.1427,                 1.0526,                 1.5206,                0.74347,                0.76438,                0.79455,                0.47813,                 1.4154,                 1.0544,                 1.7393,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.1483,                  1.046,                 1.5199,                0.75933,                0.75438,                0.79403,                0.47819,                 1.4143,                 1.0534,                 1.7369,               0.003268,               0.003268,               0.003268
                    138,                 1.1374,                 1.0393,                 1.5137,                0.77407,                0.72886,                0.78963,                0.47644,                  1.414,                 1.0567,                 1.7351,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.1453,                 1.0519,                  1.515,                0.76595,                0.74708,                0.79561,                 0.4786,                 1.4134,                 1.0547,                 1.7338,               0.003169,               0.003169,               0.003169
                    140,                 1.1301,                 1.0429,                 1.5083,                0.75729,                0.75695,                0.79953,                0.47891,                 1.4184,                 1.0499,                 1.7388,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.1319,                 1.0346,                 1.5034,                0.74492,                0.76409,                 0.7998,                0.47855,                 1.4185,                 1.0558,                 1.7421,                0.00307,                0.00307,                0.00307
                    142,                 1.1291,                 1.0429,                 1.5049,                0.76249,                 0.7516,                0.80369,                0.48206,                 1.4185,                 1.0516,                 1.7408,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.1327,                 1.0296,                 1.5102,                0.76742,                0.75909,                0.80526,                0.48181,                 1.4204,                 1.0538,                 1.7428,               0.002971,               0.002971,               0.002971
                    144,                 1.1256,                  1.024,                  1.501,                0.77031,                0.74779,                0.80314,                0.48383,                 1.4081,                 1.0504,                 1.7319,              0.0029215,              0.0029215,              0.0029215
